"days.post.imm","CAR_MZB_numbers","GCB_cell_numbers","CAR_GCB_numbers","MZB_cell_numbers"
4,30778.9956,47959.6,17649.1328,1139962.8
4,45484.753104,278184,112942.704,1911124.08
4,78527.0052,303077.7,105167.9619,2492920.8
4,28840.154112,70917.12,21062.38464,1329039.36
4,50460.676812,137803.54,59806.73636,2156439.18
7,114704.48574,2162771,1847006.434,2790863.4
7,141761.8818,2899379,2513761.593,3905286
7,108124.269,2148520,1781123.08,2954215
7,73298.2284,3091500,2392821,2745252
7,59797.836,2197440,1777728.96,1922760
7,92892.216,1340640,1112731.2,2375760
7,92532.825,2627772,2354483.712,2467542
7,65729.664,1203384,1012045.944,2282280
7,81937.614,1134870,1004359.95,1134870
7,106148.97956,1244112.4,1114724.7104,1234290.46
7,36727.236,1044680,781420.64,1212120
7,64877.3928,3330186.2,2470998.1604,2402866.4
7,57087.7632,2008454.4,1743338.4192,1021248
7,20863.344,1285916.8,1167612.4544,656080
7,72603.464,3398588,3187875.544,1708316.8
7,66408.700176,736538.4,517049.9568,1222996.32
9,84861.0528,2124974.25,1117736.4555,1738956
9,66214.27512,1859386.9,1351774.2763,1751700.4
9,57076.73715,1976969.45,1777295.53555,1968163.35
14,69161.9292,1176721,1094350.53,1670578
14,68727.4368,1882672,1464718.816,2021395.2
14,85036.0557,1943973.6,1807895.448,2600491
14,80828.53175,1593767.5,1493360.1475,2329352.5
14,126960.636,1973664,1863138.816,2373096
14,138459.05766,2023560,1894052.16,2463684.3
14,65047.32,1726255.8,1496663.7786,1667880
14,37300.530416,1838491.12,1439538.54696,1810705.36
14,238018.8132,3020850,2818453.05,5075028
14,44793.11616,1144041.6,791676.7872,1051481.6
14,54208.99008,1419579,1216579.203,1009478.4
14,61517.712672,1323204.48,1016221.04064,1081154.88
14,122813.915928,1056882,898349.7,2208883.38
14,75971.17008,1737633.6,1124248.9392,2921968.08
14,71263.6416,1771200,1645444.8,2582016
14,88589.19168,4306300.8,3819688.8096,2440473.6
14,112330.33272,2377539.72,2056571.8578,2087924.4
17,77015.61,1706664,1529170.944,2852430
17,100627.284,1734425,1134313.95,2216460
17,107350.231824,1349394.66,948624.44598,2390873.76
22,40924.40625,751530,568156.68,1818862.5
22,69649.14852,944280,781863.84,2710083.6
22,114725.9707,654735.8,469445.5686,2219071
22,124176.87828,1282554,1142755.614,3014001.9
26,66542.89158,668599.8,526856.6424,2174604.3
26,116011.1458,556587.9,513730.6317,2310979
26,153920.43072,604630.5,510308.142,2788413.6
26,56546.637,657825,450610.125,2308026
30,76322.47788,59578.2,25678.2042,1825896.6
30,87170.67072,233355.6,153547.9848,2306102.4
30,69944.0112,383096.7,225643.9563,2498000.4
30,54698.74232,233614.8,158157.2196,1873244.6
30,65625.84,286911,183623.04,2262960
30,58385.1954,740447.4,696020.556,1438059
30,30827.18023,258661.2,175889.616,643573.7
30,35124.633152,93615.76,72271.36672,748926.08
