"days_post_imm","CARpos_totalB","CARpos_GCB","CARpos_FoB","CARpos_MZB"
7,1569032,1024670.192,313922.8406336,13379.93699328
7,1413885,1057103.19,656801.3962125,20928.222315
7,2209392,2171095.872,750989.463588,25024.3470792
7,1857991.2,1592977.724,862385.416776,17997.2369694
7,3119385,2499466.392,492208.490592,12826.739016
7,2271163.86,1491853.6584,531265.11099318,21660.36727608
7,1059111.9,1017132.5556,316344.7854504,12495.19037382
9,1555887.8,991700.045,679536.0521348,7232.54015604
9,2338018.76,1685398.8426,534759.9297898,10312.8834941
9,1893062.08,1315338.752,594275.648148,9184.14542864
9,1123423,614265.22794,598184.68271898,8819.920790016
9,2850244.2,1849800.078,782584.57152,17967.69729216
14,1173849.39,730678.7145,347708.63276919,12861.8167293
14,1287595.4,796179.111,389729.9404908,10228.772736
14,1584407.44,811877.4048,661070.99664144,13532.61167104
14,1916526,1266754.622,398198.817068,8471.269378
14,3874317.4,2696181.7,836683.5800796,19284.18253146
14,3089141.36,2008168.45008,728150.0933344,18007.96874096
