"","mean","sd","2.5%","97.5%"
"alpha1",0.282081714166667,0.0416661374117097,0.242780325,0.35963345
"alpha2",1.1058660725,0.117532097304245,0.933921475,1.28194325
"nu",5.55102025833333e+307,Inf,2.55358675e+131,1.65350125e+308
"delta",0.0543928786666667,0.0104985775740499,0.0403313025,0.07190312
"b0_delta",1.03805301149167e+308,Inf,1.1773215e+307,1.75301e+308
"lambda",0.210143819166667,0.0468382534687884,0.154687775,0.2838744
"mu",0.17053692,0.0183779973003292,0.14840245,0.2000463
"sigma1",0.421585575833333,0.0305388484203036,0.357492,0.4586092
"sigma2",1.00477415833333,0.0531922627354991,0.90539435,1.09588
"sigma3",3.37068579166667,0.342315231130498,2.93651825,4.00712425
