"","mean","sd","2.5%","97.5%"
"alpha1",0.261374660166667,0.137295284113927,0.1214831,0.665592675
"alpha2",1.16494018583333,0.377511099436356,0.48404715,1.966958
"nu",0.0264931236634167,0.0142350836486466,0.00218394775,0.0489144175
"delta",0.047080790075,0.0138242879023106,0.0222627675,0.0754238125
"tau",23.9963874166667,2.88702230518901,18.2656275,29.7467275
"lambda",0.197932105666667,0.157367206616996,0.0528824525,0.673285299999999
"mu",0.166359580666667,0.0203572730717498,0.13159375,0.210175025
"sigma1",0.472222671666667,0.0443073569181774,0.396757,0.567079275
"sigma2",0.97584889,0.107329784997522,0.790389,1.21144425
"sigma3",3.40569459166667,0.342227956178078,2.81400675,4.13298525
