"","mean","sd","2.5%","97.5%"
"alpha1",0.0402320837666667,0.0149000717858746,0.0162698,0.0743391
"alpha2",0.0141365736166667,0.00379266048453994,0.0082938,0.02312424
"nu",0.0243817679135833,0.0157414100462424,0.00110314,0.0485350225
"delta",0.372300331666667,0.119981408560688,0.221624175,0.662871674999999
"b0_delta",6.4946992075,2.69527538708436,2.086205,12.7217425
"lambda",0.964284198333333,0.319849322988639,0.379127575,1.65452225
"mu",1.0421336625,0.199518559423605,0.7267834,1.5319955
"sigma1",0.477598994166667,0.0462434055100844,0.3976816,0.575377524999999
"sigma2",0.98490342,0.0921718060597737,0.821104,1.17914375
"sigma3",1.13872989333333,0.104663775990076,0.94858475,1.35114225
