"","mean","sd","2.5%","97.5%"
"alpha1",0.000974989016666667,0.000526058175149006,0.000330678275,0.00231731375
"alpha2",0.0134758683416667,0.00417175857175502,0.00764825075,0.02387626
"nu",0.0242812715875,0.01285672764328,0.00329252975,0.0484739025
"delta",0.32192307,0.107280214164586,0.1637053,0.581588174999999
"b0_delta",9.080730825,2.28475060785417,4.579894,13.4918525
"lambda",0.563890825,0.313234222525059,0.170185425,1.358073
"mu",0.960878900833333,0.21676603567923,0.62131165,1.50639975
"sigma1",0.46600944,0.0456561107336594,0.38958065,0.56288905
"sigma2",0.9717463225,0.0910178835742026,0.822308075,1.153962
"sigma3",1.14742156166667,0.106692760068301,0.9679501,1.3760385
