"","mean","sd","2.5%","97.5%"
"alpha1",0.224297102666667,0.11045639699484,0.1153211,0.546056
"alpha2",1.1410622575,0.336965882161355,0.5295425,1.83621
"nu",0.259982648079167,0.28046434232709,0.002711456,1.0030915
"delta",0.104924432845,0.154280687211597,0.00490007975,0.590147
"b0_delta",0.0325552426766667,0.0218268023510758,0.0013949555,0.0785794
"lambda",0.152023568083333,0.118390393014948,0.0451167875,0.524668
"mu",0.17238763,0.0203685198642656,0.136509125,0.218671375
"sigma1",0.46748383,0.0458182427520615,0.389849525,0.564473525
"sigma2",0.957656939166667,0.102597165657396,0.794672525,1.17340125
"sigma3",3.44677725,0.35293708399395,2.81986,4.222057
