"","mean","sd","2.5%","97.5%"
"alpha1",0.0308630859333333,0.0127779117840789,0.0126032775,0.06270301
"alpha2",0.013711739425,0.00629359036547305,0.006772601,0.031236655
"nu",0.020364796307125,0.0143841572242988,0.0002937992,0.0474765625
"delta",0.3224952025,0.102591720875631,0.186209,0.5689857
"tau",15.6751715,2.26700619252103,10.086562,19.263415
"lambda",0.7601142975,0.298752521430863,0.298645375,1.4419595
"mu",0.518892621666667,0.150319593688212,0.30682125,0.883259974999999
"sigma1",0.462488699166667,0.042926880395572,0.3869808,0.553414075
"sigma2",1.0155893475,0.0945627179892954,0.845175175,1.214091
"sigma3",1.14735628,0.116293906846094,0.94872725,1.39835575
