"","mean","sd","2.5%","97.5%"
"alpha1",0.0370436746833333,0.0143668550202893,0.0147050125,0.0697344825
"alpha2",0.0158663836333333,0.00460520438917234,0.00891500125,0.0264471775
"nu",0.222499671296,0.237027617040389,0.00917653475,0.865868249999995
"delta",0.235923169875,0.133361105899889,0.047553305,0.5902467
"b0_delta",0.144865915711667,0.102744047271897,0.0072898485,0.378655825
"lambda",0.893818564166667,0.322182846821207,0.347327175,1.61332425
"mu",1.1022171175,0.234309435199677,0.71873205,1.64373075
"sigma1",0.460030865,0.0453058537080691,0.38055155,0.55310875
"sigma2",1.02158003,0.101709064499156,0.84212655,1.24284675
"sigma3",1.14142830333333,0.108850290088888,0.9515916,1.40466075
