"","mean","sd","2.5%","97.5%"
"alpha1",0.037657237045,0.0131317172942912,0.0151057225,0.0663662725
"alpha2",0.1647313906,0.194831777959702,0.045595725,0.737905425
"alpha3",0.0040238020715,0.00153105633595815,0.00150602575,0.00745628075
"delta",0.23035663015,0.179005508378563,0.0730382,0.691769525
"lambda",0.907830256,0.317096770132705,0.3566245,1.61884625
"mu",0.774738621,0.30090356516787,0.30391615,1.46012025
"nu",0.03246212283,0.0364142052966505,0.0034064025,0.121685475
"M0N2",9.37723711,0.184371912744464,9.00474675,9.75276225
"sigma1",0.434900515,0.0399587980786049,0.364133275,0.51890715
"sigma2",1.0878870795,0.0855030985532588,0.9385014,1.2705055
"sigma3",0.90450448,0.074004965174898,0.774590525,1.05516275
