"","mean","sd","2.5%","97.5%"
"alpha1",0.00783662338,0.00236217481384905,0.0038077555,0.0130830925
"alpha2",0.0338671981166667,0.00840587902743424,0.02053925,0.0534292925
"delta",1.00915364,0.236789417674463,0.60748835,1.5358315
"lambda_WT",0.180838238416667,0.0618464247163662,0.07532512,0.3169388
"lambda_N2KO",1.479446055,0.362991329354963,0.792122125,2.21148725
"mu",0.995614382333333,0.267049431654799,0.543460625,1.57816725
"nu",0.0118075384566667,0.0329140547755565,0.00350878225,0.0345585599999999
"M0N2",9.36560770833333,0.202211615925415,8.957883,9.76165025
"sigma1",0.486589242,0.0491864938889456,0.400256225,0.59213795
"sigma2",1.2592898,0.103989050650742,1.0763175,1.4867915
"sigma3",1.08242802816667,0.0913595817418387,0.92162295,1.27873075
