"","mean","sd","2.5%","97.5%"
"alpha1",0.031287692155,0.0139071733119649,0.0102325725,0.0634894
"alpha2",0.01513789357,0.00342697109361836,0.0097905855,0.0227818425
"delta",0.294023894,0.0615716211542424,0.19104515,0.421562
"lambda",0.73279696,0.324620598518832,0.22432385,1.49011575
"mu",1.5272398375,0.257648238104652,1.09297775,2.1027
"nu",0.091368448415,0.139094290871183,0.00915206,0.571863199999998
"tau",27.611801,1.26093148169509,24.8006275,29.771455
"sigma1",0.432230243,0.0451782128282663,0.35832245,0.531235624999999
"sigma2",0.709370255,0.0767835585720568,0.5851727,0.873706275
"sigma3",0.7984389195,0.0848930504930234,0.656839725,0.986668025
