"","mean","sd","2.5%","97.5%"
"alpha1",0.0151297212216667,0.0108641503588277,0.00507365,0.0480614525
"alpha2",0.119612536166667,0.0328274665832585,0.059628755,0.188778
"alpha3",0.00405542434992167,0.00209853063209466,0.000555695175,0.008533609
"delta",0.0830537163,0.0149114185515877,0.053750775,0.11292995
"lambda_WT",0.268075189333333,0.134737652071029,0.108038325,0.638947924999999
"lambda_N2KO",0.8684248124,0.415069845136429,0.15148715,1.71168675
"mu",0.770344907,0.301709351115371,0.310271625,1.4591845
"nu",0.61004030085,0.23671719955289,0.13814825,1.01518
"M0N2",9.37870764833333,0.183312844503087,9.023918,9.7402535
"sigma1",0.456337653333333,0.0445775058306635,0.380910075,0.5552877
"sigma2",1.18517744466667,0.095815163987998,1.0167495,1.3905125
"sigma3",1.00431987066667,0.0829460600995949,0.859274275,1.18215675
