"","mean","sd","2.5%","97.5%"
"alpha1",0.0663792827083333,0.0333171027110473,0.017013,0.143387
"alpha2",0.0370779940666667,0.00906159167212399,0.0228868425,0.058105
"alpha3",0.00314084908152333,0.00195980262892712,0.0002325582,0.00765403075
"delta",1.0542851895,0.248565417293785,0.6554514,1.59084125
"lambda_WT",0.693522555116667,0.31052825597414,0.23783905,1.39476125
"lambda_N2KO",0.689852122631667,0.400947727686217,0.0822338575,1.5549105
"mu",1.1175381905,0.2789650481561,0.644380775,1.7049945
"nu",0.0508739359916667,0.0985111916136647,0.0029370105,0.31867005
"M0N2",9.37223693333333,0.177817554246561,9.0131695,9.7248
"sigma1",0.453812670666667,0.045575871743567,0.374222,0.550928
"sigma2",1.27799271133333,0.111617184310741,1.08065,1.51271575
"sigma3",1.09284106066667,0.0911078995579196,0.931764825,1.283881
