"","mean","sd","2.5%","97.5%"
"alpha1",0.047282112525,0.0226089770718732,0.0155093825,0.10025965
"alpha2",0.014767485855,0.00328230614176416,0.00958032,0.02181563
"delta",0.291906673,0.0633620210265215,0.18292,0.43131035
"lambda",0.623884135,0.303471867942607,0.18673285,1.3265615
"mu",1.5272848705,0.260024417989531,1.09548325,2.0874535
"nu",0.076300761575,0.100511585557673,0.0088613365,0.403904
"tau",27.6827078,1.4641502878263,24.5599175,30.2711
"sigma1",0.4377124575,0.0455247946143256,0.358906,0.5352779
"sigma2",0.7152117835,0.0779719956270882,0.580287475,0.88467
"sigma3",0.794376753,0.0861743613738279,0.6395656,0.970779825
