"","mean","sd","2.5%","97.5%"
"alpha1",0.0108883369916667,0.00818639496912815,0.0039586015,0.040075485
"alpha2",0.0120772991416667,0.00348449325276917,0.00714883425,0.0210210625
"nu",0.15804004595,0.231418851398755,0.00772426075,0.881144499999998
"delta",0.2907826079,0.220062711853191,0.0255475825,0.879557825
"b0_delta",0.0854437949416667,0.0725259722593728,0.0027339975,0.277644725
"lambda",0.204122089666667,0.190975920718693,0.0523649775,0.822436024999998
"mu",0.8660550625,0.193108007263922,0.578176375,1.320573
"sigma1",0.610376025,0.0600102723123039,0.505297125,0.739451175
"sigma2",0.9937405425,0.102163296935276,0.823313725,1.22217975
"sigma3",1.1423744225,0.10643160729054,0.952936325,1.3704665
