"","mean","sd","2.5%","97.5%"
"alpha1",0.000952703908333333,0.000508171229463781,0.0003350488,0.00217308699999999
"alpha2",0.0121881727833333,0.00356705597360114,0.00707708925,0.02092347
"nu",0.167140323383333,0.22709015397071,0.0072195685,0.847161849999998
"delta",0.2871235522025,0.222482949674307,0.01696187,0.855621249999999
"b0_delta",0.0876438457916667,0.0705616729790411,0.0027991605,0.26614615
"lambda",0.548886253583333,0.300865923637364,0.1767753,1.27882
"mu",0.871506250833333,0.190345667971257,0.58569365,1.337116
"sigma1",0.463926836666667,0.044163928275467,0.389569575,0.561262425
"sigma2",0.98947318,0.0958062603458606,0.821683725,1.18734375
"sigma3",1.13877552666667,0.106145974655749,0.958043025,1.38180075
