"","mean","sd","2.5%","97.5%"
"alpha1",0.00132072398283333,0.000482457218970955,0.00055768895,0.002421012
"alpha2",0.08563893245,0.0378663797065958,0.03923845,0.174007
"alpha3",0.0040725628465,0.00151224535495423,0.001716807,0.00760734375
"delta",0.19034534785,0.182835123159442,0.07020799,0.724520375
"lambda_WT",0.593011725,0.202215745870231,0.273244825,1.04663925
"lambda_N2KO",0.910021829333333,0.306226865934409,0.41174975,1.591536
"mu",0.712239054833333,0.299433375213311,0.256902975,1.374937
"nu",0.222428818356667,0.266328885102798,0.0045786695,0.916369825
"M0N2",9.37696953,0.182970967718152,9.01401475,9.74145275
"sigma1",0.434640323166667,0.0410033066301955,0.3635542,0.520310125
"sigma2",1.17581601033333,0.0962641328487775,1.00690475,1.37901075
"sigma3",0.990655965166667,0.081219169295767,0.849631075,1.16652375
