"","mean","sd","2.5%","97.5%"
"alpha1",0.0019221324785,0.000801188035786631,0.000711757625,0.00374611325
"alpha2",0.03480559695,0.00839839698096611,0.021262775,0.054357635
"alpha3",0.003578333458,0.00159298676132927,0.00117925575,0.00732119325
"delta",1.018994422,0.225296166752134,0.631999175,1.52814875
"lambda",0.7981603295,0.334758788577839,0.283964375,1.565409
"mu",1.030344593,0.268897298147715,0.582446,1.62090075
"nu",0.0049427542855,0.00281253737287818,0.0022716935,0.010114825
"M0N2",9.378165585,0.185215562123122,8.996221,9.7362175
"sigma1",0.435316599,0.0417338389774664,0.36469845,0.524719
"sigma2",1.194732534,0.0997861082851726,1.01951975,1.40439925
"sigma3",1.0116713935,0.0841148976257116,0.8688706,1.19460475
