"","mean","sd","2.5%","97.5%"
"alpha1",0.0017266125225,0.000874054489774867,0.0005824659,0.00383085225
"alpha2",0.0100955543415,0.00562346418132279,0.0010512955,0.01941882
"delta",0.3255120675,0.0973523831508172,0.17605765,0.53859715
"lambda",0.6406955173,0.321868743464405,0.205116075,1.4038665
"mu",1.3532285445,0.459631077795718,0.52629185,2.12538225
"nu",0.33271051683,0.381902034279008,-0.0070031175,1.20939325
"tau",20.79515101,7.31014296306776,8.287466,31.9889325
"sigma1",0.4402012175,0.0404727158012081,0.3660573,0.5239311
"sigma2",0.7469875355,0.0800947211584788,0.613128775,0.943669924999999
"sigma3",0.8092969525,0.144740498753977,0.546677325,1.07857625
