"","mean","sd","2.5%","97.5%"
"alpha1",0.001778500951,0.000865155767729456,0.000422992325,0.0037560795
"alpha2",0.014989364775,0.00337293673197073,0.00946057475,0.0226674675
"delta",0.291475896,0.0621212509450162,0.1869196,0.4314509
"lambda",0.68775395665,0.334263349223928,0.1632976,1.438257
"mu",1.5235203275,0.267709698165167,1.05741875,2.0986495
"nu",0.069129699375,0.112598021413266,0.0089883815,0.4385292
"tau",27.52274185,1.34332089375747,24.660745,29.9009925
"sigma1",0.445563057,0.0475364138858656,0.364201125,0.549531525
"sigma2",0.70828731,0.0726120379197232,0.58283115,0.868217299999999
"sigma3",0.8022306405,0.0886957249520327,0.65393925,0.992611575
