"","mean","sd","2.5%","97.5%"
"alpha1",0.03485124498,0.0250861605243908,0.0065649225,0.10445175
"alpha2",0.009761598055,0.00245363806864275,0.00602585075,0.015668515
"delta",0.2170074873,0.0595481462710231,0.12284145,0.353552475
"lambda",0.65486031675,0.351155960072424,0.100101035,1.460602
"mu",1.0207566875,0.20981988427407,0.68653195,1.4897275
"nu",0.113389004685,0.1363414447802,0.010069695,0.515206925
"tau",26.81542125,1.70538597285824,23.0968725,29.7364575
"sigma1",2.96177531,0.278418815326421,2.49791825,3.57484575
"sigma2",1.0004288675,0.0970414149067268,0.834940775,1.22990675
"sigma3",0.980472249,0.0943383517573163,0.821727,1.18361325
