"","mean","sd","2.5%","97.5%"
"alpha1",0.08564170645,0.0291084495559265,0.0390725175,0.152883
"alpha2",0.01001473427,0.00252243230560303,0.00629583,0.01601249
"delta",0.233293954,0.0597253327987366,0.1489089,0.37877345
"lambda",0.890781724,0.29374064457311,0.382568,1.549201
"mu",1.0709575895,0.206556888500492,0.733544225,1.53987125
"nu",0.09760780441,0.118439626669107,0.00879177975,0.423867575
"tau",26.9165274,1.78481680839491,23.009135,29.954975
"sigma1",0.5194587995,0.0462441585315642,0.43594395,0.619183
"sigma2",1.004715938,0.0993284806777242,0.835629275,1.2233135
"sigma3",0.9695938005,0.0923947959920033,0.8076648,1.1733875
